LEAID,NAME,CITY,STATE,MEMBER_alt,revised,hasReassignedSchools,altRatio_99,altRatio,altRatio_growth,pupMONEY_reg,pupMONEY_alt,pdiff_pupMONEY,hasCounc_reg,hasCounc_alt,pdiff_hasCounc,puptch_reg,puptch_alt,pdiff_puptch,TEACH_FYSY_RATIO_reg,TEACH_FYSY_RATIO_alt,pdiff_TEACH_FYSY_RATIO,TEACH_ABSENT_RATIO_reg,TEACH_ABSENT_RATIO_alt,pdiff_TEACH_ABSENT_RATIO,gradRate_reg,gradRate_alt,ppdiff_gradRate
406250,PEORIA UNIFIED SCHOOL DISTRICT,GLENDALE,AZ,92,FALSE,TRUE,0,0.006393773,0.006393773,3491.983671,6191.737209,0.773128913,0.714285714,1,0.4,22.59994735,15.33333333,-0.321532343,0.037958877,0.25,5.586074766,0.121581927,0.125,0.028113329,85.47744807,,
406330,PHOENIX UNION HIGH SCHOOL DISTRICT,PHOENIX,AZ,213,FALSE,FALSE,0.016662064,0.008043199,-0.008618865,3417.574518,8246.984558,1.413110384,1,1,0,21.22216184,8.52,-0.598532889,0.02734375,0.035714286,0.306122449,0.297421875,0.5,0.681113738,76.69892877,32,-44.69892877
406960,SAN CARLOS UNIFIED DISTRICT,SAN CARLOS,AZ,54,FALSE,FALSE,0,0.098901099,0.098901099,4077.639113,2964.981818,-0.272868016,1,0,-1,14.47058824,27,0.865853659,0.142857143,0,-1,0.742857143,0,-1,82,,
408680,TUBA CITY UNIFIED DISTRICT,TUBA CITY,AZ,35,FALSE,FALSE,0,0.029761905,0.029761905,4027.537859,5740.029412,0.425195644,1,1,0,14.12093824,14,-0.008564462,0,0,,0.123287671,0,-1,72,,
408800,TUCSON UNIFIED DISTRICT,TUCSON,AZ,526,FALSE,TRUE,0.018020719,0.017677107,-0.000343612,3568.014178,5392.550847,0.511359142,0.607843137,0.6,-0.012903226,20.55371148,8.810361552,-0.571349361,0.195775167,0.207459207,0.059680914,0.075123029,0.13986014,0.861747878,70.38217213,43.08695652,-27.29521561
409060,WASHINGTON ELEMENTARY SCHOOL DISTRICT,GLENDALE,AZ,217,FALSE,TRUE,0,0.028749338,0.028749338,3593.526112,6013.077664,0.673308466,0.352941176,1,1.833333333,18.77011601,,,0.160599032,0.166666667,0.037781266,0.121016539,0,-1,31.46305419,,
409630,YUMA UNION HIGH SCHOOL DISTRICT,YUMA,AZ,202,FALSE,FALSE,0.047798742,0.018838012,-0.02896073,4294.460793,7414.758541,0.726586619,1,1,0,26.34087751,11.88235294,-0.548900642,0.207973103,0.105263158,-0.493861675,0.34678194,0.315789474,-0.089371629,84.21920136,32,-52.21920136
502880,BEEBE SCHOOL DISTRICT,BEEBE,AR,28,FALSE,FALSE,0,0.014799154,0.014799154,4761.424995,6715.166667,0.410327092,1,1,0,14.54007713,5.447470817,-0.625347873,0.066176471,0,-1,0.448529412,0.5,0.114754098,87,,
503750,CABOT SCHOOL DISTRICT,CABOT,AR,186,FALSE,FALSE,0,0.029495718,0.029495718,5024.059873,6452.528734,0.284325605,1,1,0,16.85268342,14.8443735,-0.119168554,0.171927468,1,4.81640625,0.049026192,0.07980846,0.627873924,92,62,-30
506330,FORT SMITH SCHOOL DISTRICT,FORT SMITH,AR,49,FALSE,FALSE,0,0.007574586,0.007574586,5927.687803,17841.83873,2.009915387,1,1,0,14.68618449,4.016393443,-0.72651893,0.072387213,0.214285714,1.96027027,0.326720664,0.571428571,0.748982036,86.65671642,,
507890,HOT SPRINGS SCHOOL DISTRICT,HOT SPRINGS,AR,137,FALSE,FALSE,0,0.067058248,0.067058248,6345.274117,15033.8,1.369290865,1,1,0,12.42747121,5.495387084,-0.557803274,0.129411765,0,-1,0.552941176,0.5,-0.095744681,77,,
509000,LITTLE ROCK SCHOOL DISTRICT,LITTLE ROCK,AR,374,FALSE,TRUE,0.004990099,0.027058313,0.022068214,16100.38719,36263.09897,1.252312229,0.842105263,1,0.1875,16.02957633,8.973297755,-0.440203685,0.13060621,0.043582704,-0.666304503,0.489896501,0.583390528,0.190844449,78.17916207,,
512660,SPRINGDALE SCHOOL DISTRICT,SPRINGDALE,AR,294,FALSE,FALSE,0,0.028179814,0.028179814,5422.457436,,,1,,,14.84798233,8.698224852,-0.414181358,0.160060286,,,0.330067822,,,91.70786517,32,-59.70786517
600013,ROCKLIN UNIFIED,ROCKLIN,CA,98,FALSE,TRUE,0.038347107,0.015269554,-0.023077553,3669.643377,6239.157212,0.700208051,1,1,0,22.94197033,14.91628615,-0.34982541,0.21450952,1,3.661797753,0.056238451,0.166666667,1.963571429,96.99292453,,
600014,HESPERIA UNIFIED,HESPERIA,CA,726,FALSE,FALSE,0.071387532,0.061183213,-0.01020432,5088.630596,9442.36124,0.855580016,0.75,0.75,0,24.565584,20.11437876,-0.181196801,0.192448234,0.222222222,0.154711674,0.365359318,0.305555556,-0.163684788,95.07165707,52.63157895,-42.44007812
600015,LUCERNE VALLEY UNIFIED,LUCERNE VALLEY,CA,33,FALSE,FALSE,0.03960396,0.013687267,-0.025916694,5513.988155,6349.424706,0.151512214,0,0,,24.7011639,19.90909091,-0.194001911,0.235849057,0,-1,0.009827044,0,-1,,,
600016,UPLAND UNIFIED,UPLAND,CA,230,FALSE,FALSE,0.113020489,0.040976305,-0.072044184,3926.59389,5728.162271,0.458811996,1,1,0,25.17075645,19.77644024,-0.214308864,0.032302723,0,-1,0.313797877,0.076923077,-0.754864253,98,,
600017,APPLE VALLEY UNIFIED,APPLE VALLEY,CA,436,FALSE,FALSE,0.098485882,0.07735983,-0.021126052,6432.650021,6623.877398,0.02972762,1,0.5,-0.5,24.33078255,25.5209177,0.048914791,0.050573818,0,-1,0.252869092,0.533333333,1.109128205,88.00442043,2.5,-85.50442043
600018,MOUNTAIN VALLEY UNIFIED,HAYFORK,CA,9,FALSE,FALSE,0.090909091,0.082568807,-0.008340284,6339.281553,9911.916154,0.563570898,0,0,,11.26126126,6.117467582,-0.456768879,0,0,,0,0,,,,
600019,DUBLIN UNIFIED,DUBLIN,CA,79,FALSE,FALSE,0.04512722,0.020648197,-0.024479024,4651.379248,10979.21713,1.360421832,1,1,0,24.36329379,10.12820513,-0.584284243,0.224806202,0.2,-0.110344828,0.170542636,0.3,0.759090909,97,,
600020,PLEASANTON UNIFIED,PLEASANTON,CA,98,FALSE,FALSE,0.020771513,0.011579818,-0.009191695,4371.408534,8743.967213,1.000263106,1,1,0,24.12110287,9.702970297,-0.597739359,0.077047243,0.099009901,0.285054431,0.277635258,0.485148515,0.747431211,97.4635373,,
600022,MENDOTA UNIFIED,MENDOTA,CA,17,FALSE,FALSE,0.02295082,0.014154871,-0.008795949,3843.177938,15704.13111,3.086235757,1,0,-1,24.86563516,8.133426984,-0.672904918,0.265306122,0.333333333,0.256410256,0.285714286,0,-1,87,,
600027,LAKE ELSINORE UNIFIED,LAKE ELSINORE,CA,415,FALSE,FALSE,0.043788672,0.037027123,-0.006761549,3775.848949,4371.119904,0.157652216,1,1,0,25.00674139,87.61089007,2.503490867,0.043574883,0,-1,0.047932372,0.153061224,2.193274583,94.32158921,57,-37.32158921
600028,TEMECULA VALLEY UNIFIED,TEMECULA,CA,402,FALSE,TRUE,0.024714411,0.017830214,-0.006884197,8248.602605,4873.188911,-0.409210366,1,0.5,-0.5,25.64488581,17.51633645,-0.316965707,0.106248639,0,-1,0.502939255,0.368421053,-0.267464115,94.75084459,82,-12.75084459
600029,MURRIETA VALLEY UNIFIED,MURRIETA,CA,314,FALSE,FALSE,0.029107143,0.022939801,-0.006167342,3806.403858,4858.832808,0.27648904,1,1,0,27.63722585,22.44621407,-0.187826803,0.033476429,0.083333333,1.489313725,0.179197353,0.25,0.39510989,98.10269542,,
600032,REDONDO BEACH UNIFIED,REDONDO BEACH,CA,82,FALSE,FALSE,0.056890362,0.017424564,-0.039465797,4321.117404,9907.135667,1.292725409,1,1,0,26.81781487,15.32172949,-0.428673456,0.028568164,0.158730159,4.556190476,0.159981716,0.158730159,-0.007823129,96,,
600033,DOS PALOS ORO LOMA JOINT UNIFIED,DOS PALOS,CA,70,FALSE,FALSE,0.029697624,0.054644809,0.024947185,3123.953527,6890.876712,1.205819214,0.5,0,-1,25.50267205,13.11746032,-0.485643689,0.142857143,0,-1,0.261904762,0,-1,97.5,,
600034,WINDSOR UNIFIED,WINDSOR,CA,79,FALSE,FALSE,0,0.024012158,0.024012158,3143.952962,2400.283827,-0.236539523,0.666666667,1,0.5,25.61114254,18.80952381,-0.26557264,0.075705958,0.136239782,0.799591281,0.113558937,0.272479564,1.399455041,95,,
600035,FARMERSVILLE UNIFIED,FARMERSVILLE,CA,51,FALSE,FALSE,0.046556741,0.028878822,-0.017677919,4528.886061,9070.82,1.002881035,1,0,-1,23.01654358,12.28915663,-0.466072889,0.123624675,0,-1,0.271974286,0.508083141,0.86812933,92,,
600036,NATOMAS UNIFIED,SACRAMENTO,CA,178,FALSE,FALSE,0.281309599,0.026249816,-0.255059784,3881.6512,4843.241176,0.247727044,0.875,1,0.142857143,23.54860843,17.8,-0.244116694,0.132879046,0.1,-0.247435897,0.388415673,0.7,0.802192982,94.4324147,,
600039,DELHI UNIFIED,DELHI,CA,59,FALSE,FALSE,0,0.076030928,0.076030928,5281.586406,5941.177941,0.124885117,1,0,-1,21.50569886,18.8220339,-0.124788549,0.193548387,0,-1,0.322580645,0,-1,92,,
600040,RIVERDALE JOINT UNIFIED,RIVERDALE,CA,15,FALSE,FALSE,0.01588785,0.013850416,-0.002037435,3813.346932,8868.660769,1.325689461,0.5,0,-1,20.18615434,15,-0.256916412,0.153153153,0,-1,0.198198198,0,-1,97.5,,
600042,WARNER UNIFIED,WARNER SPRINGS,CA,4,FALSE,FALSE,0.051813472,0.027027027,-0.024786444,9906.15531,11339.875,0.144730185,0,0,,11.87574412,7.547169811,-0.364488681,0.548780488,0.13,-0.763111111,0.067750678,0,-1,,,
600044,HEALDSBURG UNIFIED,HEALDSBURG,CA,17,FALSE,FALSE,0.038461538,0.016129032,-0.022332506,4427.22029,8318.222222,0.878881483,0.5,1,1,21.51493723,17,-0.209851285,0.069444444,0,-1,0.37037037,1,1.7,92,,
600045,ORLAND JOINT UNIFIED,ORLAND,CA,37,FALSE,FALSE,0.018268467,0.030352748,0.012084281,3297.146238,14426.44024,3.375432329,1,0,-1,22.40455128,12.77886978,-0.429630631,0.113744076,0.3125,1.747395833,0,0,,97.5,,
600046,GONZALES UNIFIED,GONZALES,CA,47,FALSE,FALSE,0,0.030961792,0.030961792,3622.301393,4140.4346,0.143039784,1,0,-1,23.63787022,23.5,-0.005832599,0.1875,0,-1,0.3125,1,2.2,97.5,,
600047,TRACY JOINT UNIFIED,TRACY,CA,210,FALSE,FALSE,0.026466165,0.022172949,-0.004293216,4717.500101,9503.849636,1.014594474,0.857142857,0.333333333,-0.611111111,23.72675336,19.12014925,-0.194152316,0.087354302,0,-1,0.449693743,0.625,0.38983477,93.0347541,,
600048,PASO ROBLES JOINT UNIFIED,PASO ROBLES,CA,207,FALSE,FALSE,0.048787211,0.057547957,0.008760746,691.2583588,261.6385463,-0.621503967,1,1,0,23.23340085,13.75652241,-0.407898891,0.245794713,0,-1,0.157912805,0.119521912,-0.243114499,94,,
600049,COAST UNIFIED,CAMBRIA,CA,9,FALSE,FALSE,0.076547231,0.022113022,-0.054434209,6068.24101,16898.68917,1.784775545,1,1,0,17.00619017,4.245283019,-0.750368367,0.116731518,0,-1,0.256809339,0,-1,97.5,,
600051,GRIDLEY UNIFIED,GRIDLEY,CA,30,FALSE,FALSE,0.033649698,0.027173913,-0.006475785,4653.212291,19463.69231,3.182850705,1,0,-1,20.77393045,16.53968254,-0.203825074,0.106100796,0,-1,0.017683466,0,-1,92,,
600052,EUREKA CITY SCHOOLS,EUREKA,CA,70,FALSE,FALSE,0.08572291,0.033238367,-0.052484543,3277.86354,4679.170959,0.427506332,1,1,0,21.75231315,15.90909091,-0.268625327,0.120171674,0.078341014,-0.348090849,0.225321888,0.170506912,-0.243274084,92,,
600060,HUGHSON UNIFIED,HUGHSON,CA,28,FALSE,FALSE,0.024213075,0.018064516,-0.006148559,4757.167848,8408.067,0.767452246,0.666666667,0,-1,23.81567238,17.5,-0.265189757,0.117802975,0,-1,0.176704462,0.5,1.829583333,97.5,,
600061,RIVERBANK UNIFIED,RIVERBANK,CA,61,FALSE,FALSE,0,0.049193548,0.049193548,4219.279219,6609.492537,0.566498019,0.5,1,1,20.84813318,17.94117647,-0.139434868,0.055350554,0,-1,0.332103321,0,-1,92,,
600062,OAKDALE JOINT UNIFIED,OAKDALE,CA,135,FALSE,FALSE,0.099518459,0.051566081,-0.047952378,4017.969076,4551.571429,0.132803997,0.666666667,0,-1,23.07344389,17.81481481,-0.227908287,0.066281602,0,-1,0.104156803,0,-1,99.5,,
600063,WATERFORD UNIFIED,WATERFORD,CA,32,FALSE,FALSE,0,0.009337613,0.009337613,4290.735617,5659.217742,0.318938813,0.75,1,0.333333333,24.86154984,20,-0.195544923,0.025811447,0,-1,0.025811447,0,-1,86.2816092,,
600064,PORTERVILLE UNIFIED,PORTERVILLE,CA,307,FALSE,FALSE,0.034362766,0.038669858,0.004307091,3822.692985,7342.47351,0.920759407,0.333333333,0,-1,29.61892213,21.54961195,-0.272437672,0.127795527,0,-1,0.335463259,0.066666667,-0.801269841,89.21132898,,
600065,DINUBA UNIFIED,DINUBA,CA,236,FALSE,FALSE,0.043708609,0.077427822,0.033719212,4131.872726,4904.265169,0.186935197,1,1,0,20.79398783,22.59726502,0.086721085,0.102941176,0.047619048,-0.537414966,0.080882353,0.095238095,0.177489177,99.5,77,-22.5
600067,CARUTHERS UNIFIED,CARUTHERS,CA,15,FALSE,FALSE,0.048252912,0.025380711,-0.022872201,24203.18757,210592.1765,7.701009975,1,1,0,21.14537445,7.772020725,-0.632448187,0.034482759,0,-1,0,1,,97.5,,
600068,GOLDEN VALLEY UNIFIED,MADERA,CA,53,FALSE,FALSE,0.117647059,0.054979253,-0.062667806,3386.956939,6240.15956,0.842408886,0.333333333,0,-1,21.24608084,16.42840437,-0.226756008,0.178571429,0.146412884,-0.180087848,0.044642857,0,-1,97.5,,
600069,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER,CA,135,FALSE,FALSE,0.014582687,0.064224548,0.049641861,4952.853051,5413.860146,0.093079098,1,0,-1,22.8408761,19.71491192,-0.136858331,0.075268817,0.190909091,1.536363636,0.279569892,0.090909091,-0.674825175,98,,
600116,CHAWANAKEE UNIFIED,NORTH FORK,CA,112,FALSE,FALSE,0.938666667,0.172839506,-0.76582716,4670.006561,3946.580177,-0.154909072,0.666666667,0,-1,21.24964981,22.18265086,0.043906655,0.375093773,0,-1,0.186046512,0.15060241,-0.190512048,97.5,,
600153,ALHAMBRA UNIFIED,ALHAMBRA,CA,280,FALSE,FALSE,0.058089403,0.036410923,-0.02167848,4127.454374,5790.989324,0.40304139,1,0.5,-0.5,28.09257645,23.56190476,-0.161276474,0.085463734,0.076923077,-0.09993311,0.373439358,0.076923077,-0.794014543,95.85315068,,
600158,TURLOCK UNIFIED,TURLOCK,CA,215,FALSE,FALSE,0.044152392,0.03197026,-0.012182132,4588.9775,5467.967593,0.191543779,1,1,0,23.2647581,20.79303675,-0.106243157,0.207588906,0.214132762,0.031523151,0.102092905,0.107066381,0.048715203,95.51470588,,
600159,SCOTT VALLEY UNIFIED,FORT JONES,CA,17,FALSE,FALSE,,0.05483871,,5561.525154,11560.79714,1.078709855,1,0.5,-0.5,14.55643824,11.43598616,-0.214369204,0.049850449,0,-1,0,0,,,,
600160,YOSEMITE UNIFIED,OAKHURST,CA,76,FALSE,FALSE,0.041310541,0.087456847,0.046146306,4713.669713,9356.022727,0.984870238,0.5,0,-1,23.24748533,13.3155414,-0.427226592,0.047619048,0,-1,0.238095238,0,-1,92,,
601331,TRINITY ALPS UNIFIED,WEAVERVILLE,CA,14,FALSE,FALSE,0.078239609,0.038567493,-0.039672116,5619.810408,10727.88545,0.908940814,1,0.5,-0.5,19.12328767,11.50423527,-0.398417497,0,0,,0.043478261,0.5,10.5,97.5,,
601332,TWIN RIVERS UNIFIED,MCCLELLAN,CA,855,FALSE,FALSE,0.071119686,0.056502776,-0.01461691,4376.959348,4824.038178,0.102143702,1,1,0,21.57397189,12.78240117,-0.407508212,0.117345158,0,-1,0.337307357,0.559701493,0.659321925,84.42401779,49,-35.42401779
601339,HAMILTON UNIFIED,HAMILTON CITY,CA,13,FALSE,FALSE,0.052785924,0.045936396,-0.006849528,6266.813187,6260.133333,-0.001065909,1,1,0,17.44186047,7.692307692,-0.558974359,0.133333333,,,0,,,,,
601409,BISHOP UNIFIED,BISHOP,CA,62,FALSE,FALSE,0.051694915,0.055357143,0.003662228,5094.907093,9048.385542,0.77596674,1,0,-1,22.95651117,22.89545202,-0.002659775,0.064794816,0.080645161,0.244623656,0.107991361,0.322580645,1.987096774,92,,
601414,Santa Barbara Unified,SANTA BARBARA,CA,295,FALSE,FALSE,,0.030579455,,4273.224374,6038.01273,0.412987525,1,1,0,24.18439076,16.62069209,-0.312751259,0.110785087,0,-1,0.155069533,0.171428571,0.105494855,92.15379262,34.73291925,-57.42087337
601415,WASHINGTON UNIFIED,FRESNO,CA,153,FALSE,FALSE,0.088900579,0.078988126,-0.009912453,8378.785959,4532.14766,-0.45909256,1,0,-1,23.27851081,56.43939394,1.424527686,0.118063754,0,-1,0.425029516,0.857142857,1.016666667,78.02875399,,
601418,WOODLAKE UNIFIED,WOODLAKE,CA,60,FALSE,FALSE,0.035349568,0.046948357,0.011598789,4073.062142,5432,0.333640345,0.5,0,-1,23.21038926,24.84375,0.070371967,0.27027027,0.333333333,0.233333333,0.198198198,0,-1,92,,
601421,SANTA PAULA UNIFIED,SANTA PAULA,CA,128,FALSE,FALSE,0.045960503,0.045960503,0,4347.675924,5302.687969,0.219660357,1,1,0,,,,0.16536965,0,-1,0.126459144,0.4,2.163076923,88,,
601423,EXETER UNIFIED,EXETER,CA,114,FALSE,FALSE,0.065031375,0.065031375,0,4065.341969,4127.5125,0.015292817,1,0,-1,,,,0.219512195,0,-1,0.146341463,0.3125,1.135416667,92,,
601620,ABC UNIFIED,CERRITOS,CA,445,FALSE,FALSE,0.054890125,0.044746104,-0.010144022,4165.060238,4848.429376,0.16407185,0.555555556,0,-1,24.35288012,21.9155,-0.100085908,0.051813472,0,-1,0.20984456,0.333333333,0.588477366,98.9585383,,
601650,ACALANES UNION HIGH,LAFAYETTE,CA,39,FALSE,FALSE,0.017234848,0.007339104,-0.009895744,7369.989837,5876.85186,-0.20259702,1,0,-1,20.58738847,9.75,-0.526409092,0.092198582,0.1,0.084615385,0.367375887,0,-1,98.16705426,,
601770,ALAMEDA UNIFIED,ALAMEDA,CA,342,FALSE,FALSE,0.037181303,0.055170189,0.017988886,5284.261123,4656.848547,-0.118732319,1,1,0,21.8289738,22.11018269,0.012882369,0.100758043,0.040241449,-0.600613037,0.021036596,0.010060362,-0.521768542,90.85074627,,
601860,ALBANY CITY UNIFIED,ALBANY,CA,17,FALSE,FALSE,0.018645121,0.008228461,-0.01041666,5520.669729,7108.478261,0.287611578,1,1,0,20.73828622,17,-0.180260132,0.07613247,0.37037037,3.864814815,0.009516559,0,-1,91,,
602010,ALPAUGH UNIFIED,ALPAUGH,CA,3,FALSE,FALSE,0.085271318,0.006833713,-0.078437605,11659.07565,,,0.5,0,-1,22.35466134,6,-0.731599602,0,0,,0.285306705,0,-1,,,
602070,ALPINE COUNTY UNIFIED,MARKLEEVILLE,CA,1,FALSE,FALSE,0.428571429,1,0.571428571,,64283.555,,,1,,,1,,,0,,,0,,,,
602310,ALUM ROCK UNION ELEMENTARY,SAN JOSE,CA,493,FALSE,TRUE,0,0.097739889,0.097739889,5479.543763,3977,-0.274209647,0.875,1,0.142857143,24.11822527,23.49177372,-0.025974198,0.333598094,0.625,0.873511905,0.116494572,0.05,-0.570795455,77,,
602430,ALVORD UNIFIED,RIVERSIDE,CA,344,FALSE,FALSE,0.033698399,0.033191818,-0.000506581,4343.582391,6263.518102,0.442016644,1,1,0,24.90659289,22.42692722,-0.099558606,0.041189931,0,-1,0.432494279,0.5,0.156084656,90.90376569,42,-48.90376569
602450,AMADOR COUNTY UNIFIED,JACKSON,CA,138,FALSE,FALSE,0.076301978,0.073915372,-0.002386606,34881.95818,7424.019014,-0.787167367,0.5,1,1,24.25671097,18.38448423,-0.242086685,0.035153504,0,-1,0.046871338,0,-1,97.5,,
602630,ANAHEIM UNION HIGH,ANAHEIM,CA,1026,FALSE,FALSE,0.062467155,0.032208445,-0.03025871,5067.593683,7061.873804,0.393535916,1,1,0,2691.462402,1688.152782,-0.372774897,0.017460317,0.094339623,4.403087479,0.317460317,0.58490566,0.84245283,91.53423463,37,-54.53423463
602670,WEST SONOMA COUNTY UNION HIGH,SEBASTOPOL,CA,92,FALSE,FALSE,0.054559043,0.043747028,-0.010812015,4282.773288,8526.784845,0.990949385,1,0.5,-0.5,22.71822984,14.93693327,-0.342513331,0.093567251,0.117647059,0.257352941,0.058479532,0,-1,95.24384787,,
602700,ANDERSON UNION HIGH,ANDERSON,CA,141,FALSE,FALSE,0.107087227,0.071356275,-0.035730952,5669.613158,6964.775625,0.228439301,1,1,0,24.25602207,20.63424519,-0.149314544,0.014084507,0,-1,0,0,,92.67732558,57,-35.67732558
